日付,場所,説明,元の金額,修正案の金額,差額,税率,根拠,確度,メモ
2026-05-24,パシオ 鷹尾,超大粒ラムネ,198,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-24,パシオ 鷹尾,キュービィロップ,158,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-24,パシオ 鷹尾,ハニー UシンガーニトリルSRB 黒M 10,980,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-05-24,パシオ 鷹尾,ニューイージーバッグ バイオ25L半透,370,407,37,10%,b,ほぼ確実,消耗品費なので10%
2026-05-24,パシオ 鷹尾,銀印純正ごま油(濃口),1980,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-05-24,パシオ 鷹尾,VPSトマトケチャップ チューブ 1kg × 2コ,760,821,61,8%,b,ほぼ確実,仕入（材料・食品）なので8%
2026-05-24,パシオ 鷹尾,大増量Wジッパーフリーザーバッグ,550,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-24,パシオ 鷹尾,源清田 中国産おろしにん,698,,,,b,不明,税率を決められない：科目が分からない（雑費）
2026-05-24,パシオ 鷹尾,ハニー UシンガーニトリルSRB 黒M 10,980,1078,98,10%,b,ほぼ確実,消耗品費なので10%
2026-05-24,パシオ 鷹尾,源清田 中国産おろし生姜,698,754,56,8%,b,ほぼ確実,仕入（材料・食品）なので8%
2026-05-24,パシオ 鷹尾,BESTクッキングペーパー中 2R,525,578,53,10%,b,ほぼ確実,消耗品費なので10%
2026-05-24,パシオ 鷹尾,ばら印 上白糖 PTK 1kg,255,275,20,8%,b,ほぼ確実,仕入（材料・食品）なので8%
2026-05-24,パシオ 鷹尾,キッチニスタラップ 45×50m,520,572,52,10%,b,ほぼ確実,消耗品費なので10%
2026-05-24,パシオ 鷹尾,共和 輪ゴム #16 500g,690,759,69,10%,b,ほぼ確実,消耗品費なので10%
2026-05-24,パシオ 鷹尾,キッチンバサミ DH-8001,950,1045,95,10%,b,ほぼ確実,消耗品費なので10%
2026-05-24,パシオ 鷹尾,ニューイージーバッグバイオ25L半透,370,407,37,10%,b,ほぼ確実,消耗品費なので10%
2026-05-27,ながやま 三股店,花王 ハンドスキッシュEX つけか,770,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-05-27,ながやま 三股店,キャベツ,178,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-05-27,ながやま 三股店,牛豚合挽きミンチ(5:5),670,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-27,ながやま 三股店,牛豚合挽きミンチ(5:5),656,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-27,ながやま 三股店,牛豚合挽きミンチ(5:5),661,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-27,ながやま 三股店,牛豚合挽きミンチ(5:5),655,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-05-27,ながやま 三股店,スターパック 中深 100枚 3コ×単480,1440,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-05-27,ながやま 三股店,スターパック 大深 100枚 2コ×単520,1040,1144,104,10%,b,ほぼ確実,消耗品費なので10%
2026-05-27,ながやま 三股店,宇都宮 バイオマスポリ手袋 ブル,260,286,26,10%,b,ほぼ確実,消耗品費なので10%
2026-05-27,ながやま 三股店,ハニー UシンガーニトリルSRB 黒M 10,980,1078,98,10%,b,ほぼ確実,消耗品費なので10%
2026-05-27,ながやま 三股店,火乃国 片栗粉 北海 1kg 4コ×単398,1592,1719,127,8%,b,ほぼ確実,仕入（材料・食品）なので8%
2026-05-27,ながやま 三股店,ニューイージーバッグバイオ25L半透,370,407,37,10%,b,ほぼ確実,消耗品費なので10%
2026-05-27,ながやま 三股店,マッケイン シューストリング6.3mm 1kg 2コ×単280,560,605,45,8%,b,ほぼ確実,仕入（材料・食品）なので8%
2026-06-14,ながやま 志比田店,国産青のり×11,2178,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-06-14,ながやま 志比田店,超大粒ラムネ,198,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-06-14,ながやま 志比田店,80gオールシーズンチョ,298,,,,b,不明,税率を決められない：科目が分からない（雑費）
2026-06-14,ながやま 志比田店,キュービィロップ,158,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-06-14,ながやま 志比田店,味塩こしょう荒挽き黒こしょう×10,1280,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-07-25,高鍋祭り,味の素アジシオ袋100,98,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-07-25,高鍋祭り,ゴムノキイーゼルスタン,300,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-07-25,高鍋祭り,手貼りラミネートフィル,400,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-07-25,高鍋祭り,ホワイトボードマーカー,100,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-07-25,高鍋祭り,ホワイトボード（マグネ）,100,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-07-25,高鍋祭り,透明OPPテープ18m,100,110,10,10%,b,ほぼ確実,消耗品費なので10%
2026-07-25,高鍋祭り,電卓カラー,200,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-07-25,高鍋祭り,安全ピン,200,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-07-25,高鍋祭り,サラダボール（ライトブ）,100,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-07-25,高鍋祭り,氷×10,2088,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-07-25,高鍋祭り,ラミネート,220,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-07-25,高鍋祭り,コピー代,160,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-07-25,高鍋祭り,コピー代,640,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-07-25,高鍋祭り,コピー代,80,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-07-25,高鍋祭り,携行缶,886,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-07-25,高鍋祭り,じょうぼ,110,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-08-01,盆地祭り,鶏油（チーユ）,1194,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-08-01,盆地祭り,レギュラー P04,628,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-08-01,盆地祭り,プリント代,80,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-08-01,盆地祭り,*バタイント産シューストリングポテト 1kg,1460,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-08-01,盆地祭り,オガ備長炭 10kg × 2,4360,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-08-01,盆地祭り,ドレッシングボトル ホワイト,200,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-08-01,盆地祭り,手工具,1980,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-08-01,盆地祭り,手工具,2380,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-08-01,盆地祭り,ザ・氷プレート,1980,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-08-01,盆地祭り,かちわり氷,376,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-08-01,盆地祭り,かちわり氷,1386,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-08-01,盆地祭り,除菌ジョイコンパクト本,138,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-08-01,盆地祭り,なっちゃんリンゴ425,1668,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-08-01,盆地祭り,一番搾りキャノーラサラダ油,5300,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-08-01,盆地祭り,銀印純正ごま油(濃口),1980,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-08-01,盆地祭り,GSブラックペパー荒挽,1950,,,,c,不明,写真つきの行の直後に並んでいる（同じレシートかもしれない）。人が確かめること
2026-08-01,盆地祭り,福助 ニューイージーバッグL 半透明 10,780,858,78,10%,b,ほぼ確実,消耗品費なので10%
2026-08-01,盆地祭り,スターパック 中深 100枚 2コ,1060,1166,106,10%,b,ほぼ確実,消耗品費なので10%
2026-08-01,盆地祭り,スターパック 大深 100枚 2コ,1220,1342,122,10%,b,ほぼ確実,消耗品費なので10%
2026-08-01,盆地祭り,花王 チェリーナ 4.5L,1680,1848,168,10%,b,ほぼ確実,消耗品費なので10%
2026-08-01,盆地祭り,ニトリルバリュー青 M 100枚,980,1078,98,10%,b,ほぼ確実,消耗品費なので10%
2026-08-01,盆地祭り,おしぼりレーヨン 乳白無地平1,360,396,36,10%,b,ほぼ確実,消耗品費なので10%
2026-08-01,盆地祭り,火乃国 片栗粉 北海 1kg 3コ,1194,1290,96,8%,b,ほぼ確実,仕入（材料・食品）なので8%
2026-08-14,ながやま 志比田店,福助 ニューイージーバッグL 半透明 10,780,,,,a,確実,写真あり。レシートの合計を読み直してから直す（再OCR待ち）
2026-08-14,ながやま 志比田店,ニトリルバリュー青 M 100枚,1960,2156,196,10%,b,ほぼ確実,消耗品費なので10%
2026-08-14,ながやま 志比田店,スターパック 大深 100枚,1220,1342,122,10%,b,ほぼ確実,消耗品費なので10%
